rev_id,worker_id,toxicity,toxicity_score,comment,year,logged_in,ns,sample,split
182449647.0,1607,0,0.0," Try The Name of the Rose first, I think it's much better.  Foucault's Pendulum starts great, full of promise, but then it slowly drifts and meanders, till it loses its way. Still worth reading, but the first one is the real masterpiece, I'd say.    NEWLINE_TOKENNEWLINE_TOKEN",2008,True,user,random,test
476867038.0,2517,0,0.0,"NEWLINE_TOKENNEWLINE_TOKENIronically, it's kind of a tradition to play this song at wedding receptions here in the US.  In fact, I've never heard it played outside of one.   ",2012,False,article,blocked,train
295696781.0,1044,1,-1.0,"NEWLINE_TOKEN:Whew.. ) I would never normally do that, ever ever. It just seemed appropriate for the message. I do have a problem though, I'm pretty sure I've already registered fat-fingered-idiot.com, or at least I have prior claim due to my extensive experience in the field. )   ",2009,True,user,random,train
141509046.0,3284,0,0.0, (song)|He Said She Said,2007,True,user,blocked,train
647794807.0,1014,0,0.0,"`NEWLINE_TOKENNEWLINE_TOKEN:Hi. I know you mean well, but ``external links should not normally be used in the body of an article`` != no external links in the body of an article. Your actions wiped out relevant external links not only in the body of the article, but also in a separate section, links that had been included in this article when it was first approved. This article is now not as useful as it was/could be. I hope you understand.   `",2015,True,user,random,train
358274612.0,1882,0,1.0,". Good contrast and generally nice images, but only B sharpness. (400mm: B-).",2010,True,article,blocked,dev
213048606.0,1427,0,2.0,"NEWLINE_TOKENNEWLINE_TOKEN: If what you say is true, then why did you not put a link to this supposed news article then? I edit for myself and the overall betterment of Wikipedia only. Lee just happens to be one of the articles I monitor for inaccuracies. Contributions to this article, as with any Wikipedia article, are acceptable as long as you are making claims that can be proven. If Paul Conn is under investigation by the IRS then undoubtedly there would be some form of proof, some where on the internet you could link to the article. Even if he was under investigation, that information would be something that should be primarily placed on the Paul Conn article, and not Lee's.   ",2008,True,article,random,test
38225049.0,717,0,1.0,"NEWLINE_TOKENNEWLINE_TOKEN== I don't think this should be merged ==NEWLINE_TOKENNEWLINE_TOKENCamp Parsons is an extremely popular Boy Scout camp nation-wide (they have troops from all over the country attend), so it definitely deserves its own page.",2006,True,article,blocked,dev
240821834.0,923,0,1.0,Thank you. I'll check later.   NEWLINE_TOKEN,2008,True,user,random,dev
410440218.0,3641,0,1.0,"`NEWLINE_TOKEN:I haven't ventured much into the world of anime film, my taste runs a little closer to Rainer Werner Fassbinder and old-school Herzog. That's not to say I don't also enjoy the occasional guilty pleasures. And everyone should watch Shaun of the Dead at least once in their lives.  `",2011,True,user,random,test
405259773.0,2435,0,1.0,take yourself seriously now? hahaNEWLINE_TOKENNEWLINE_TOKEN,2011,False,user,blocked,test
99391137.0,827,0,0.0,"NEWLINE_TOKENI stronly disagree with you, i am simply replying to what he said, if i said something wrong, delete that,not everything, i deeply and 100% reject your reply, I also put back all other conversation other leave, because in the meantime you revert and others leave it, you have no manners and ethics at all.Now, your reply will not be tolerated.",2007,False,user,blocked,dev
504281746.0,1674,0,0.0,"NEWLINE_TOKENNEWLINE_TOKEN== Jihadist border crossing ==NEWLINE_TOKENNEWLINE_TOKENSorry, I wrote badly before, I got confused about parts of that source article and wrote wrongly. My bad. I have now written properly. Hope its ok this time. )   ",2012,True,user,random,test
657769370.0,1530,1,-1.0,"NEWLINE_TOKENNEWLINE_TOKEN== You are addicted and you need to stop editing Wikipedia ==NEWLINE_TOKENNEWLINE_TOKENDear NawlinWiki,NEWLINE_TOKENNEWLINE_TOKENI am very concerned for your mental health.  You are addicted to Wikipedia.  You can't stop editing and vandal-fighting.  It is affecting your job, your family and your health.  You are wasting hours of your life on a stupid website.NEWLINE_TOKENNEWLINE_TOKENYou need to stop. NOW.   ",2015,True,user,blocked,train
319744742.0,3499,0,1.0,NEWLINE_TOKENNEWLINE_TOKENCuteness is also very commonly associated with the name Whitney.,2009,True,article,random,train
10069070.0,179,0,0.0,`NEWLINE_TOKENNEWLINE_TOKEN==Boris==NEWLINE_TOKENThe image was badly cropped - badly resized - badly compressed and copyright. If the comment was ironic it was unsuitable for a wikipedia article. All in all - it was a poor contribution.  •  `,2004,True,user,random,train
675105058.0,868,0,0.0,NEWLINE_TOKENNEWLINE_TOKEN== yahoo mail ==NEWLINE_TOKENNEWLINE_TOKENHello   ,2015,True,user,random,dev
323562087.0,2268,0,0.0,"NEWLINE_TOKEN:Yes, I understand. But it was fun.   ",2009,True,user,blocked,train
280425018.0,2513,0,1.0,"` (UTC)NEWLINE_TOKENNEWLINE_TOKEN::: The current published orbital periods of Neptune, Pluto, Haumea and Makemake are 165, 248, 285 and 310 years respectively. These suggest a ``resonance`` of 40  60  69  75, making the Makemake - Neptune ``resonance`` closer to 15  8 than to 11  6.   14:48, 29 March 2009`",2009,True,article,random,train
345143794.0,3369,0,0.0,"People died so this starlet's philanthropy would exhaust itself when it came to the actual victims of torture, death, and murder... How utterly revolting...enjoy wikipedia...propaganda and whitewash in a whole new dimension...",2010,False,article,blocked,train
411020981.0,2677,0,0.0,"`NEWLINE_TOKEN*When you talk in an MFD, there's no need to put a header above what you're sayingNEWLINE_TOKENNEWLINE_TOKEN==Header==NEWLINE_TOKEN...like this. It disrupts the flow of all the other headers on the page. Ten Pound Hammer,  and a clue-bat •  `",2011,True,user,random,dev
346149519.0,1226,0,1.0,`NEWLINE_TOKENNEWLINE_TOKEN== Editor Topic Ban ==NEWLINE_TOKENNEWLINE_TOKENI'm not so sure we should seek an editor topic ban along with the ``subject topic ban`` quite yet.  It opens up doors for damn near everyone on both sides to potentially be called to task (e.g. when we were accused of edit warring with that IP editor months back).  If we get a ``subject discussion ban`` in place first and editors continue to harp on ``Creation Myth`` or the title then it's a very clear cut case for editor topic banning.    `,2010,True,user,random,train
